timestamp_utc,date,Facility ID,Facility Name,State,County,Staffed Beds,ICU Beds,Occupied MedSurg,Occupied ICU,ER Wait Mins,Diverted Transfers,Incoming Transfer Requests,Flu RSV COVID Admissions,Case Mix Index,CMS Overall Rating,Data Source
2026-07-05T15:52:33.214045+00:00,2026-07-05,420078,Prisma Health Greenville Memorial Hospital,SC,Greenville,814,112,626,104,121,0,24,14,2.18,4,DATA_CMS_GOV_CCN_KEYED
2026-07-05T15:52:33.214045+00:00,2026-07-05,420102,Prisma Health Patewood Hospital,SC,Greenville,72,8,46,6,49,0,4,3,1.25,5,DATA_CMS_GOV_CCN_KEYED
2026-07-05T15:52:33.214045+00:00,2026-07-05,420033,Prisma Health Greer Memorial Hospital,SC,Greenville,82,10,53,7,50,0,4,3,1.42,5,DATA_CMS_GOV_CCN_KEYED
2026-07-05T15:52:33.214045+00:00,2026-07-05,420037,Prisma Health Hillcrest Hospital,SC,Greenville,48,6,29,4,47,0,4,3,1.31,4,DATA_CMS_GOV_CCN_KEYED
2026-07-05T15:52:33.214045+00:00,2026-07-05,420015,Prisma Health Baptist Easley Hospital,SC,Pickens,109,12,71,9,50,0,4,3,1.38,4,DATA_CMS_GOV_CCN_KEYED
2026-07-06T15:52:33.214045+00:00,2026-07-06,420078,Prisma Health Greenville Memorial Hospital,SC,Greenville,814,112,649,108,125,6,24,14,2.18,4,DATA_CMS_GOV_CCN_KEYED
2026-07-06T15:52:33.214045+00:00,2026-07-06,420102,Prisma Health Patewood Hospital,SC,Greenville,72,8,46,6,49,0,4,3,1.25,5,DATA_CMS_GOV_CCN_KEYED
2026-07-06T15:52:33.214045+00:00,2026-07-06,420033,Prisma Health Greer Memorial Hospital,SC,Greenville,82,10,52,7,49,0,4,3,1.42,5,DATA_CMS_GOV_CCN_KEYED
2026-07-06T15:52:33.214045+00:00,2026-07-06,420037,Prisma Health Hillcrest Hospital,SC,Greenville,48,6,30,4,49,0,4,3,1.31,4,DATA_CMS_GOV_CCN_KEYED
2026-07-06T15:52:33.214045+00:00,2026-07-06,420015,Prisma Health Baptist Easley Hospital,SC,Pickens,109,12,67,8,47,0,4,3,1.38,4,DATA_CMS_GOV_CCN_KEYED
2026-07-07T15:52:33.214045+00:00,2026-07-07,420078,Prisma Health Greenville Memorial Hospital,SC,Greenville,814,112,672,109,130,6,24,14,2.18,4,DATA_CMS_GOV_CCN_KEYED
2026-07-07T15:52:33.214045+00:00,2026-07-07,420102,Prisma Health Patewood Hospital,SC,Greenville,72,8,44,5,47,0,4,3,1.25,5,DATA_CMS_GOV_CCN_KEYED
2026-07-07T15:52:33.214045+00:00,2026-07-07,420033,Prisma Health Greer Memorial Hospital,SC,Greenville,82,10,53,7,50,0,4,3,1.42,5,DATA_CMS_GOV_CCN_KEYED
2026-07-07T15:52:33.214045+00:00,2026-07-07,420037,Prisma Health Hillcrest Hospital,SC,Greenville,48,6,31,4,50,0,4,3,1.31,4,DATA_CMS_GOV_CCN_KEYED
2026-07-07T15:52:33.214045+00:00,2026-07-07,420015,Prisma Health Baptist Easley Hospital,SC,Pickens,109,12,72,9,50,0,4,3,1.38,4,DATA_CMS_GOV_CCN_KEYED
2026-07-08T15:52:33.214045+00:00,2026-07-08,420078,Prisma Health Greenville Memorial Hospital,SC,Greenville,814,112,624,104,120,0,24,14,2.18,4,DATA_CMS_GOV_CCN_KEYED
2026-07-08T15:52:33.214045+00:00,2026-07-08,420102,Prisma Health Patewood Hospital,SC,Greenville,72,8,47,6,50,0,4,3,1.25,5,DATA_CMS_GOV_CCN_KEYED
2026-07-08T15:52:33.214045+00:00,2026-07-08,420033,Prisma Health Greer Memorial Hospital,SC,Greenville,82,10,54,7,51,0,4,3,1.42,5,DATA_CMS_GOV_CCN_KEYED
2026-07-08T15:52:33.214045+00:00,2026-07-08,420037,Prisma Health Hillcrest Hospital,SC,Greenville,48,6,31,4,50,0,4,3,1.31,4,DATA_CMS_GOV_CCN_KEYED
2026-07-08T15:52:33.214045+00:00,2026-07-08,420015,Prisma Health Baptist Easley Hospital,SC,Pickens,109,12,70,9,49,0,4,3,1.38,4,DATA_CMS_GOV_CCN_KEYED
2026-07-09T15:52:33.214045+00:00,2026-07-09,420078,Prisma Health Greenville Memorial Hospital,SC,Greenville,814,112,680,109,131,6,24,14,2.18,4,DATA_CMS_GOV_CCN_KEYED
2026-07-09T15:52:33.214045+00:00,2026-07-09,420102,Prisma Health Patewood Hospital,SC,Greenville,72,8,48,6,51,0,4,3,1.25,5,DATA_CMS_GOV_CCN_KEYED
2026-07-09T15:52:33.214045+00:00,2026-07-09,420033,Prisma Health Greer Memorial Hospital,SC,Greenville,82,10,54,7,51,0,4,3,1.42,5,DATA_CMS_GOV_CCN_KEYED
2026-07-09T15:52:33.214045+00:00,2026-07-09,420037,Prisma Health Hillcrest Hospital,SC,Greenville,48,6,30,4,49,0,4,3,1.31,4,DATA_CMS_GOV_CCN_KEYED
2026-07-09T15:52:33.214045+00:00,2026-07-09,420015,Prisma Health Baptist Easley Hospital,SC,Pickens,109,12,70,9,49,0,4,3,1.38,4,DATA_CMS_GOV_CCN_KEYED
2026-07-10T15:52:33.214045+00:00,2026-07-10,420078,Prisma Health Greenville Memorial Hospital,SC,Greenville,814,112,677,109,131,6,24,14,2.18,4,DATA_CMS_GOV_CCN_KEYED
2026-07-10T15:52:33.214045+00:00,2026-07-10,420102,Prisma Health Patewood Hospital,SC,Greenville,72,8,47,6,50,0,4,3,1.25,5,DATA_CMS_GOV_CCN_KEYED
2026-07-10T15:52:33.214045+00:00,2026-07-10,420033,Prisma Health Greer Memorial Hospital,SC,Greenville,82,10,53,7,50,0,4,3,1.42,5,DATA_CMS_GOV_CCN_KEYED
2026-07-10T15:52:33.214045+00:00,2026-07-10,420037,Prisma Health Hillcrest Hospital,SC,Greenville,48,6,29,4,48,0,4,3,1.31,4,DATA_CMS_GOV_CCN_KEYED
2026-07-10T15:52:33.214045+00:00,2026-07-10,420015,Prisma Health Baptist Easley Hospital,SC,Pickens,109,12,72,9,50,0,4,3,1.38,4,DATA_CMS_GOV_CCN_KEYED
2026-07-11T15:52:33.214045+00:00,2026-07-11,420078,Prisma Health Greenville Memorial Hospital,SC,Greenville,814,112,694,109,134,6,24,14,2.18,4,DATA_CMS_GOV_CCN_KEYED
2026-07-11T15:52:33.214045+00:00,2026-07-11,420102,Prisma Health Patewood Hospital,SC,Greenville,72,8,45,5,48,0,4,3,1.25,5,DATA_CMS_GOV_CCN_KEYED
2026-07-11T15:52:33.214045+00:00,2026-07-11,420033,Prisma Health Greer Memorial Hospital,SC,Greenville,82,10,55,8,52,0,4,3,1.42,5,DATA_CMS_GOV_CCN_KEYED
2026-07-11T15:52:33.214045+00:00,2026-07-11,420037,Prisma Health Hillcrest Hospital,SC,Greenville,48,6,32,4,52,0,4,3,1.31,4,DATA_CMS_GOV_CCN_KEYED
2026-07-11T15:52:33.214045+00:00,2026-07-11,420015,Prisma Health Baptist Easley Hospital,SC,Pickens,109,12,75,9,52,0,4,3,1.38,4,DATA_CMS_GOV_CCN_KEYED
2026-07-12T15:52:33.214045+00:00,2026-07-12,420078,Prisma Health Greenville Memorial Hospital,SC,Greenville,814,112,665,109,128,6,24,14,2.18,4,DATA_CMS_GOV_CCN_KEYED
2026-07-12T15:52:33.214045+00:00,2026-07-12,420102,Prisma Health Patewood Hospital,SC,Greenville,72,8,47,6,49,0,4,3,1.25,5,DATA_CMS_GOV_CCN_KEYED
2026-07-12T15:52:33.214045+00:00,2026-07-12,420033,Prisma Health Greer Memorial Hospital,SC,Greenville,82,10,53,7,50,0,4,3,1.42,5,DATA_CMS_GOV_CCN_KEYED
2026-07-12T15:52:33.214045+00:00,2026-07-12,420037,Prisma Health Hillcrest Hospital,SC,Greenville,48,6,32,4,52,0,4,3,1.31,4,DATA_CMS_GOV_CCN_KEYED
2026-07-12T15:52:33.214045+00:00,2026-07-12,420015,Prisma Health Baptist Easley Hospital,SC,Pickens,109,12,73,9,51,0,4,3,1.38,4,DATA_CMS_GOV_CCN_KEYED
2026-07-13T15:52:33.214045+00:00,2026-07-13,420078,Prisma Health Greenville Memorial Hospital,SC,Greenville,814,112,662,109,128,6,25,14,2.18,4,DATA_CMS_GOV_CCN_KEYED
2026-07-13T15:52:33.214045+00:00,2026-07-13,420102,Prisma Health Patewood Hospital,SC,Greenville,72,8,46,6,49,0,4,3,1.25,5,DATA_CMS_GOV_CCN_KEYED
2026-07-13T15:52:33.214045+00:00,2026-07-13,420033,Prisma Health Greer Memorial Hospital,SC,Greenville,82,10,52,7,49,0,4,3,1.42,5,DATA_CMS_GOV_CCN_KEYED
2026-07-13T15:52:33.214045+00:00,2026-07-13,420037,Prisma Health Hillcrest Hospital,SC,Greenville,48,6,31,4,51,0,4,3,1.31,4,DATA_CMS_GOV_CCN_KEYED
2026-07-13T15:52:33.214045+00:00,2026-07-13,420015,Prisma Health Baptist Easley Hospital,SC,Pickens,109,12,70,9,49,0,4,3,1.38,4,DATA_CMS_GOV_CCN_KEYED
2026-07-14T15:52:33.214045+00:00,2026-07-14,420078,Prisma Health Greenville Memorial Hospital,SC,Greenville,814,112,666,109,129,6,25,14,2.18,4,DATA_CMS_GOV_CCN_KEYED
